Name,MBH,MBHLow,MBHHigh
XTE J1118+480,7.55,6.9,8.2
XTE J1550-564,10.5,9.5,11.5
GS 2000+25,6.55,,
GRO J0422+32,10.4,,
GRS 1009-45,8.5,,
GRS 1716-249,4.9,,
GX339-4,7,,
H1705-25,6.4,4.9,7.9
A0620-00,6.6,6.35,6.85
XTEJ1650-50(0),5.1,,
XTEJ1859+226,7.7,6.4,9
GS2023+338,12,10,14
GRS 1124-68,6.95,6.35,7.55
GRS1915+105,12.9,15.3,10.5
GS 1354-64,7.6,6.9,8.3
GROJ1655-40,5.31,5.24,5.38
4U1543-47,5.1,2.7,7.5
XTEJ1819-254,10.215,8.73,11.70
CygX-1,14.8,14.7,14.9
LMC X-1,10.91,9.36,12.46
LMC X-3,7.0,6.68,7.32
IC 10 X-1,23.1,,
NGC 300 X-1,20.0,16,24
M33 X-7,15.65,14.2,17.1
GW150914a,36,32,41
GW150914b,29,25,33
GW150914,62,58,66
LVT151012a,23,17,41
LVT151012b,13,8,17
LVT151012,37,33,50
GW151226a,14.2,10.5,22.5
GW151226b,7.5,5.2,9.8
GW151226,20.8,19.1,26.9
GW170104a,31.2,25.2,39.6
GW170104b,19.4,13.5,24.7
GW170104,48.7,44.1,54.4
GW170814a,32,28,36
GW170814b,24.5,21,28
GW170814,53.5,51,56
